genus,marker,n_unadjusted,n_adjusted,unadjusted_r,unadjusted_p,unadj_ci_lo,unadj_ci_hi,adjusted_r,adjusted_p,adj_ci_lo,adj_ci_hi,survives_adjustment,direction_consistent,unadj_direction,adj_direction,adj_bonferroni_passes,adj_fdr_adjusted_p,adj_fdr_passes
Porphyromonas,hsCRP,4713,3912,0.0367,0.011639640383644142,0.0082,0.0652,0.0802,5.125937427549239e-07,0.049,0.1113,True,True,positive,positive,True,2.3066718423971574e-05,True
Porphyromonas,HDL,9239,7649,-0.0267,0.010245688067617333,-0.0471,-0.0063,0.0039,0.7334670420296823,-0.0185,0.0263,False,False,negative,positive,False,0.8492784168979413,False
Porphyromonas,LDL,4418,3650,0.0257,0.08723722916793818,-0.0038,0.0552,0.0461,0.005392733210428068,0.0137,0.0784,True,True,positive,positive,False,0.030334124308657878,True
Porphyromonas,Triglycerides,4496,3724,-0.0036,0.8116229188792311,-0.0328,0.0257,0.0275,0.0933986387147666,-0.0046,0.0596,False,False,negative,positive,False,0.21349727030175808,False
Porphyromonas,Glucose,4539,3760,0.0304,0.040279723395301024,0.0014,0.0595,0.0383,0.018821664678488028,0.0064,0.0702,True,True,positive,positive,False,0.07958445408342281,False
Porphyromonas,Total Chol,9239,7649,-0.0025,0.8137601207038963,-0.0228,0.0179,0.031,0.006738112553512392,0.0086,0.0534,True,False,negative,positive,False,0.03567236057741855,True
Porphyromonas,Systolic BP,9520,7838,-0.0176,0.08568812287748753,-0.0377,0.0025,0.0022,0.847542107283163,-0.02,0.0243,False,False,negative,positive,False,0.9180759124850804,False
Porphyromonas,Diastolic BP,9498,7824,-0.0083,0.4204650764710175,-0.0284,0.0118,0.0046,0.6849672049275379,-0.0176,0.0267,False,False,negative,positive,False,0.8140432036370971,False
Porphyromonas,HbA1c,9360,7752,-0.001,0.924842165559116,-0.0212,0.0193,0.0322,0.004538958418975546,0.01,0.0545,True,False,negative,positive,False,0.027233750513853277,True
Fusobacterium,hsCRP,4713,3912,0.0208,0.15276526585937644,-0.0077,0.0494,0.0374,0.019453977664836686,0.006,0.0686,True,True,positive,positive,False,0.07958445408342281,False
Fusobacterium,HDL,9239,7649,-0.0216,0.03759064304798819,-0.042,-0.0012,0.0019,0.8705493495046108,-0.0205,0.0243,False,False,negative,positive,False,0.921758134769588,False
Fusobacterium,LDL,4418,3650,0.0518,0.0005726495448387995,0.0223,0.0812,0.042,0.011180215488388106,0.0096,0.0744,True,True,positive,positive,False,0.055901077441940526,False
Fusobacterium,Triglycerides,4496,3724,0.0103,0.4913131169506747,-0.019,0.0395,0.0169,0.3015411969568309,-0.0152,0.049,False,True,positive,positive,False,0.512051089171977,False
Fusobacterium,Glucose,4539,3760,0.0381,0.010301410296562102,0.009,0.0671,0.0407,0.012572847142421142,0.0088,0.0726,True,True,positive,positive,False,0.05955559172725804,False
