genus,blood_marker,pearson_r,pearson_p,spearman_r,spearman_p,n,significant,direction
Porphyromonas,hsCRP,0.0315,0.030422930515744646,0.0367,0.011639640383644142,4713,True,positive
Porphyromonas,HDL,-0.0323,0.0018994089267999077,-0.0267,0.010245688067617333,9239,True,negative
Porphyromonas,Triglycerides,0.0229,0.12479695513477006,-0.0036,0.8116229188792311,4496,False,positive
Porphyromonas,LDL,0.0395,0.00862719900104926,0.0257,0.08723722916793818,4418,True,positive
Porphyromonas,Glucose,0.0334,0.024467001891828898,0.0304,0.040279723395301024,4539,True,positive
Porphyromonas,TotalChol,0.0152,0.1434775261567996,-0.0025,0.8137601207038963,9239,False,positive
Fusobacterium,hsCRP,0.0014,0.921866683659959,0.0208,0.15276526585937644,4713,False,positive
Fusobacterium,HDL,-0.0209,0.045018218541633334,-0.0216,0.03759064304798819,9239,True,negative
Fusobacterium,Triglycerides,0.0189,0.2061642977570481,0.0103,0.4913131169506747,4496,False,positive
Fusobacterium,LDL,0.0577,0.00012520330930526177,0.0518,0.0005726495448387995,4418,True,positive
Fusobacterium,Glucose,0.0229,0.12311435713383286,0.0381,0.010301410296562102,4539,False,positive
Fusobacterium,TotalChol,0.0245,0.01853743855602945,0.0212,0.04192799699939308,9239,True,positive
Treponema,hsCRP,-0.0053,0.7169727905071239,0.0017,0.9067720775946022,4713,False,negative
Treponema,HDL,-0.0011,0.9149446614057086,-0.0005,0.9600470540192025,9239,False,negative
Treponema,Triglycerides,0.0005,0.9749622200774152,0.0023,0.8781580309105134,4496,False,positive
Treponema,LDL,0.0139,0.3539210358989776,0.0171,0.25510267815913623,4418,False,positive
Treponema,Glucose,0.0007,0.9639133947348945,0.0081,0.5833600291894157,4539,False,positive
Treponema,TotalChol,0.0076,0.46486059826440174,0.0088,0.3993558698146593,9239,False,positive
Tannerella,hsCRP,0.0236,0.1056239656035678,0.0501,0.0005808925685088745,4713,False,positive
Tannerella,HDL,-0.0244,0.019167236064554668,-0.0501,1.4767179588273713e-06,9239,True,negative
Tannerella,Triglycerides,0.0657,1.0463298303701491e-05,0.0873,4.5017475443310386e-09,4496,True,positive
Tannerella,LDL,0.05,0.0008887974189087348,0.1098,2.566552655873104e-13,4418,True,positive
Tannerella,Glucose,0.0537,0.000293924530866272,0.0841,1.3651254049670175e-08,4539,True,positive
Tannerella,TotalChol,0.0557,8.234243225833649e-08,0.0769,1.3086526349760248e-13,9239,True,positive
Prevotella,hsCRP,0.0188,0.19636941054292234,0.0349,0.01653890441057944,4713,False,positive
Prevotella,HDL,0.0048,0.6478698672962485,0.004,0.7027786524022698,9239,False,positive
Prevotella,Triglycerides,-0.0109,0.46368625401411206,-0.0054,0.7193905189032389,4496,False,negative
Prevotella,LDL,0.0469,0.0018015315884070964,0.0446,0.0030030750640680755,4418,True,positive
Prevotella,Glucose,-0.0056,0.7076667782267941,-0.0174,0.24237604791150852,4539,False,negative
Prevotella,TotalChol,0.0235,0.023694375445336504,0.0267,0.010355617362718337,9239,True,positive
Veillonella,hsCRP,-0.0043,0.7692764927870063,-0.0136,0.349354618600883,4713,False,negative
Veillonella,HDL,0.006,0.5636982136607366,0.0072,0.49071308588107565,9239,False,positive
Veillonella,Triglycerides,0.054,0.00028942606482255896,0.0394,0.008295418692186791,4496,True,positive
Veillonella,LDL,-0.0189,0.20877050422072327,-0.0219,0.14567385481621195,4418,False,negative
Veillonella,Glucose,-0.0042,0.7757592005267824,-0.0133,0.3685562365566305,4539,False,negative
Veillonella,TotalChol,0.0007,0.9473246635010296,-0.0036,0.7298920362180382,9239,False,positive
Rothia,hsCRP,0.0442,0.00239822574498199,0.0563,0.00011021182843576812,4713,True,positive
Rothia,HDL,-0.0098,0.3454496171588698,-0.0168,0.10643892477400634,9239,False,negative
Rothia,Triglycerides,0.0319,0.03249212970933654,0.0357,0.016683704448871444,4496,True,positive
Rothia,LDL,0.0427,0.004575940187178293,0.0452,0.002642510805916301,4418,True,positive
Rothia,Glucose,0.0265,0.07398812230365741,0.0408,0.0059607640326387,4539,False,positive
Rothia,TotalChol,0.0506,1.1257491952205317e-06,0.0522,5.045903389051265e-07,9239,True,positive
Neisseria,hsCRP,-0.0283,0.051685021671880146,-0.0507,0.0005005527026951609,4713,False,negative
Neisseria,HDL,0.0129,0.21569099481309792,0.0228,0.02855645559128704,9239,False,positive
Neisseria,Triglycerides,-0.0576,0.00011182990025881848,-0.0844,1.4236351366098051e-08,4496,True,negative
Neisseria,LDL,-0.0292,0.05216753508943003,-0.0359,0.01698803651167915,4418,False,negative
Neisseria,Glucose,0.0078,0.600084874940055,-0.0165,0.26541140887992054,4539,False,positive
Neisseria,TotalChol,-0.0309,0.002961682126067985,-0.052,5.830261873906089e-07,9239,True,negative
Streptococcus,hsCRP,-0.0175,0.23041656977396072,-0.0289,0.047555849238436296,4713,False,negative
Streptococcus,HDL,0.0032,0.7549944287198446,0.0154,0.13975578989762594,9239,False,positive
Streptococcus,Triglycerides,-0.0253,0.09017103495702403,-0.0421,0.0047507756457164695,4496,False,negative
Streptococcus,LDL,-0.0544,0.0002937238503600047,-0.0531,0.0004161665352546651,4418,True,negative
Streptococcus,Glucose,-0.0157,0.28896756363726284,-0.036,0.015164063167321929,4539,False,negative
Streptococcus,TotalChol,-0.0322,0.0019769399361640717,-0.0344,0.000944486391124612,9239,True,negative
Haemophilus,hsCRP,-0.0439,0.002599108565995129,-0.0534,0.00024359571919662707,4713,True,negative
Haemophilus,HDL,0.0398,0.00013189526853277884,0.0486,2.9730664625705437e-06,9239,True,positive
Haemophilus,Triglycerides,-0.0937,3.104556705708388e-10,-0.1099,1.4846789498880035e-13,4496,True,negative
Haemophilus,LDL,-0.0044,0.7719928772364231,-0.0173,0.25021094612107947,4418,False,negative
Haemophilus,Glucose,-0.0537,0.0002954130236596447,-0.0578,9.703679234457209e-05,4539,True,negative
Haemophilus,TotalChol,-0.0204,0.049582117776716624,-0.0307,0.0031544669293435694,9239,True,negative
