Name	Taxonomy in SILVA v123
RB_phylum1	Bacteria;Acidobacteria
RB_phylum2	Bacteria;Actinobacteria
RB_phylum3	Bacteria;Armatimonadetes
RB_phylum4	Bacteria;Atribacteria
RB_phylum5	Bacteria;Bacteroidetes
RB_phylum6	Bacteria;CKC4
RB_phylum7	Bacteria;Candidate_division_OP3
RB_phylum8	Bacteria;Candidate_division_SR1
RB_phylum9	Bacteria;Chlamydiae
RB_phylum10	Bacteria;Chlorobi
RB_phylum11	Bacteria;Chloroflexi
RB_phylum12	Bacteria;Cloacimonetes
RB_phylum13	Bacteria;Cyanobacteria
RB_phylum14	Bacteria;Deferribacteres
RB_phylum15	Bacteria;Deinococcus-Thermus
RB_phylum16	Bacteria;Elusimicrobia
RB_phylum17	Bacteria;Fibrobacteres
RB_phylum18	Bacteria;Firmicutes
RB_phylum19	Bacteria;Fusobacteria
RB_phylum20	Bacteria;Gemmatimonadetes
RB_phylum21	Bacteria;Gracilibacteria
RB_phylum22	Bacteria;Hydrogenedentes
RB_phylum23	Bacteria;Latescibacteria
RB_phylum24	Bacteria;Lentisphaerae
RB_phylum25	Bacteria;Microgenomates
RB_phylum26	Bacteria;Nitrospirae
RB_phylum27	Bacteria;Omnitrophica
RB_phylum28	Bacteria;PAUC34f
RB_phylum29	Bacteria;Parcubacteria
RB_phylum30	Bacteria;Planctomycetes
RB_phylum31	Bacteria;Proteobacteria
RB_phylum32	Bacteria;RsaHF231
RB_phylum33	Bacteria;SHA-109
RB_phylum34	Bacteria;SM2F11
RB_phylum35	Bacteria;Saccharibacteria
RB_phylum36	Bacteria;Spirochaetae
RB_phylum37	Bacteria;Synergistetes
RB_phylum38	Bacteria;TM6
RB_phylum39	Bacteria;Tenericutes
RB_phylum40	Bacteria;Thermotogae
RB_phylum41	Bacteria;Verrucomicrobia
RB_phylum42	Bacteria;WCHB1-60
RB_class1	Bacteria;Acidobacteria;Acidobacteria
RB_class2	Bacteria;Acidobacteria;Holophagae
RB_class3	Bacteria;Acidobacteria;NA
RB_class4	Bacteria;Acidobacteria;Subgroup_22
RB_class5	Bacteria;Actinobacteria;Acidimicrobiia
RB_class6	Bacteria;Actinobacteria;Actinobacteria
RB_class7	Bacteria;Actinobacteria;Coriobacteriia
RB_class8	Bacteria;Actinobacteria;MB-A2-108
RB_class9	Bacteria;Actinobacteria;NA
RB_class10	Bacteria;Actinobacteria;Nitriliruptoria
RB_class11	Bacteria;Actinobacteria;Rubrobacteria
RB_class12	Bacteria;Actinobacteria;TakashiAC-B11
RB_class13	Bacteria;Actinobacteria;Thermoleophilia
RB_class14	Bacteria;Armatimonadetes;Armatimonadia
RB_class15	Bacteria;Armatimonadetes;NA
RB_class16	Bacteria;Atribacteria;Atribacteria_Incertae_Sedis
RB_class17	Bacteria;Bacteroidetes;Bacteroidetes_VC2.1_Bac22
RB_class18	Bacteria;Bacteroidetes;Bacteroidetes_vadinHA17
RB_class19	Bacteria;Bacteroidetes;Bacteroidia
RB_class20	Bacteria;Bacteroidetes;Cytophagia
RB_class21	Bacteria;Bacteroidetes;Flavobacteriia
RB_class22	Bacteria;Bacteroidetes;NA
RB_class23	Bacteria;Bacteroidetes;SB-5
RB_class24	Bacteria;Bacteroidetes;Sphingobacteriia
RB_class25	Bacteria;Bacteroidetes;WCHB1-32
RB_class26	Bacteria;CKC4;NA
RB_class27	Bacteria;Candidate_division_OP3;NA
RB_class28	Bacteria;Candidate_division_SR1;NA
RB_class29	Bacteria;Chlamydiae;Chlamydiae
RB_class30	Bacteria;Chlorobi;Chlorobia
RB_class31	Bacteria;Chlorobi;Ignavibacteria
RB_class32	Bacteria;Chlorobi;NA
RB_class33	Bacteria;Chloroflexi;Anaerolineae
RB_class34	Bacteria;Chloroflexi;Ardenticatenia
RB_class35	Bacteria;Chloroflexi;Caldilineae
RB_class36	Bacteria;Chloroflexi;Chloroflexia
RB_class37	Bacteria;Chloroflexi;Gitt-GS-136
RB_class38	Bacteria;Chloroflexi;JG30-KF-CM66
RB_class39	Bacteria;Chloroflexi;JG37-AG-4
RB_class40	Bacteria;Chloroflexi;KD4-96
RB_class41	Bacteria;Chloroflexi;Ktedonobacteria
RB_class42	Bacteria;Chloroflexi;NA
RB_class43	Bacteria;Chloroflexi;P2-11E
RB_class44	Bacteria;Chloroflexi;S085
RB_class45	Bacteria;Chloroflexi;SAR202_clade
RB_class46	Bacteria;Chloroflexi;TK10
RB_class47	Bacteria;Chloroflexi;Thermomicrobia
RB_class48	Bacteria;Cloacimonetes;LNR_A2-18
RB_class49	Bacteria;Cyanobacteria;Chloroplast
RB_class50	Bacteria;Cyanobacteria;Cyanobacteria
RB_class51	Bacteria;Cyanobacteria;ML635J-21
RB_class52	Bacteria;Cyanobacteria;Melainabacteria
RB_class53	Bacteria;Cyanobacteria;NA
RB_class54	Bacteria;Deferribacteres;Deferribacteres
